county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,total_snap_payments,avg_snap_payment,month,year,payment_inflation_adjusted
Fayette,872,1929,324,653,726,79,147,"$204,560",$234.59,April,2018,$303.34
Freestone,1079,2392,358,817,951,92,174,"$257,899",$239.02,April,2018,$309.07
Gillespie,606,1524,242,568,559,45,110,"$155,133",$256.00,April,2018,$331.03
Hays,6005,14905,2530,5653,5644,365,713,"$1,646,838",$274.24,April,2018,$354.61
Lampasas,1059,2424,338,798,1060,82,146,"$259,378",$244.93,April,2018,$316.71
Lee,861,2059,341,769,782,56,111,"$222,724",$258.68,April,2018,$334.49
Limestone,1696,3803,572,1322,1544,110,255,"$399,994",$235.85,April,2018,$304.97
Llano,922,1993,301,586,819,106,181,"$207,175",$224.70,April,2018,$290.56
McLennan,16284,37237,6337,12992,14893,1203,1812,"$4,070,040",$249.94,April,2018,$323.19
Milam,1971,4430,631,1502,1793,197,307,"$492,414",$249.83,April,2018,$323.05
Mills,177,388,49,123,164,21,31,"$37,727",$213.15,April,2018,$275.62
San Saba,326,744,113,236,303,34,58,"$79,633",$244.27,April,2018,$315.86
Travis,45659,100473,17609,38981,35237,2906,5740,"$11,780,578",$258.01,April,2018,$333.63
Williamson,11525,28211,4614,10648,10485,704,1760,"$3,112,544",$270.07,April,2018,$349.22
Bastrop,4499,10839,1855,4301,3798,334,551,"$1,224,676",$272.21,May,2018,$350.53
Bell,22278,54448,9120,19353,22479,1405,2091,"$6,060,407",$272.04,May,2018,$350.31
Blanco,244,527,81,167,211,18,50,"$50,522",$207.06,May,2018,$266.64
Burnet,1761,4091,650,1430,1540,156,315,"$430,930",$244.71,May,2018,$315.12
Caldwell,2504,6215,1042,2393,2224,185,371,"$679,576",$271.40,May,2018,$349.49
Coryell,3454,8223,1342,2735,3573,225,348,"$890,561",$257.83,May,2018,$332.01
Falls,1367,2831,435,846,1167,148,235,"$296,430",$216.85,May,2018,$279.24
Fayette,857,1919,327,643,724,76,149,"$204,756",$238.92,May,2018,$307.66
Freestone,1074,2368,348,807,940,96,177,"$257,946",$240.17,May,2018,$309.27
Gillespie,606,1528,242,570,564,44,108,"$155,339",$256.33,May,2018,$330.08
Hays,5991,14836,2521,5619,5612,363,721,"$1,634,630",$272.85,May,2018,$351.36
Lampasas,1064,2433,342,798,1063,85,145,"$258,553",$243.00,May,2018,$312.92
Lee,837,2006,320,761,765,54,106,"$211,512",$252.70,May,2018,$325.41
Limestone,1704,3785,567,1316,1533,113,256,"$401,727",$235.76,May,2018,$303.59
Llano,918,1999,302,593,815,107,182,"$204,936",$223.24,May,2018,$287.47
McLennan,16198,37058,6332,12875,14839,1205,1807,"$4,050,844",$250.08,May,2018,$322.03
Milam,1936,4382,618,1501,1755,190,318,"$479,689",$247.77,May,2018,$319.06
Mills,179,401,56,126,168,21,30,"$39,112",$218.50,May,2018,$281.37
San Saba,328,722,103,221,304,34,60,"$73,943",$225.44,May,2018,$290.30
Travis,45123,99271,17394,38441,34854,2868,5714,"$11,649,228",$258.17,May,2018,$332.45
Williamson,11482,28055,4638,10556,10403,707,1751,"$3,083,913",$268.59,May,2018,$345.87
Bastrop,4543,10957,1873,4369,3828,334,553,"$1,228,605",$270.44,June,2018,$347.70
Bell,22531,55109,9224,19538,22840,1405,2102,"$6,113,538",$271.34,June,2018,$348.86
Blanco,235,504,80,160,194,21,49,"$48,155",$204.91,June,2018,$263.45
Burnet,1767,4103,641,1432,1552,157,321,"$421,716",$238.66,June,2018,$306.84
Caldwell,2514,6258,1070,2410,2227,182,369,"$684,458",$272.26,June,2018,$350.04
Coryell,3504,8318,1355,2742,3637,219,365,"$893,693",$255.05,June,2018,$327.91
Falls,1386,2876,447,859,1177,151,242,"$297,082",$214.34,June,2018,$275.57
Fayette,871,1962,324,669,737,77,155,"$206,887",$237.53,June,2018,$305.39
Freestone,1086,2405,361,812,958,96,178,"$256,690",$236.36,June,2018,$303.88
Gillespie,591,1507,234,571,552,42,108,"$151,670",$256.63,June,2018,$329.94
Hays,6016,14874,2514,5636,5635,360,729,"$1,630,546",$271.03,June,2018,$348.46
Lampasas,1062,2397,333,784,1050,85,145,"$257,902",$242.85,June,2018,$312.23
Lee,838,1987,318,749,763,57,100,"$205,113",$244.76,June,2018,$314.68
Limestone,1701,3798,557,1335,1535,120,251,"$401,571",$236.08,June,2018,$303.52
Llano,922,1989,303,577,817,109,183,"$207,036",$224.55,June,2018,$288.70
McLennan,16219,37075,6366,12810,14876,1217,1806,"$4,044,612",$249.37,June,2018,$320.61
Milam,1927,4357,617,1487,1744,189,320,"$474,491",$246.23,June,2018,$316.57
Mills,183,407,57,125,172,23,30,"$39,926",$218.17,June,2018,$280.50
San Saba,338,746,102,232,317,36,59,"$78,095",$231.05,June,2018,$297.06
Travis,45127,99205,17241,38350,34964,2916,5734,"$11,620,653",$257.51,June,2018,$331.07
Williamson,11504,28058,4642,10587,10381,695,1753,"$3,081,550",$267.87,June,2018,$344.39
Bastrop,4540,10882,1836,4322,3835,328,561,"$1,217,970",$268.28,July,2018,$344.90
Bell,22573,55245,9191,19639,22909,1429,2077,"$6,158,071",$272.81,July,2018,$350.72
Blanco,233,500,78,163,189,22,48,"$47,819",$205.23,July,2018,$263.84
Burnet,1746,4052,632,1408,1542,154,316,"$423,606",$242.62,July,2018,$311.91
Caldwell,2517,6278,1048,2436,2243,181,370,"$677,648",$269.23,July,2018,$346.12
Coryell,3546,8397,1345,2773,3669,233,377,"$903,108",$254.68,July,2018,$327.41
Falls,1373,2861,442,865,1169,145,240,"$295,726",$215.39,July,2018,$276.90
Fayette,856,1920,308,666,722,71,153,"$204,331",$238.70,July,2018,$306.87
Freestone,1101,2449,361,823,981,98,186,"$259,783",$235.95,July,2018,$303.33
Gillespie,571,1455,230,560,507,42,116,"$141,665",$248.10,July,2018,$318.95
Hays,5968,14757,2490,5589,5588,358,732,"$1,631,731",$273.41,July,2018,$351.49
Lampasas,1056,2395,322,794,1048,84,147,"$252,563",$239.17,July,2018,$307.47
Lee,831,1983,328,737,760,56,102,"$204,791",$246.44,July,2018,$316.82
Limestone,1670,3734,549,1312,1501,115,257,"$400,654",$239.91,July,2018,$308.43
Llano,914,1986,312,578,810,104,182,"$200,872",$219.77,July,2018,$282.53
McLennan,16183,37018,6320,12818,14865,1217,1798,"$4,046,506",$250.05,July,2018,$321.46
Milam,1900,4318,618,1471,1726,186,317,"$462,853",$243.61,July,2018,$313.18
Mills,182,404,58,122,171,23,30,"$38,538",$211.75,July,2018,$272.22
San Saba,353,788,105,250,337,33,63,"$81,748",$231.58,July,2018,$297.72
Travis,44914,98674,17094,38031,34895,2908,5746,"$11,574,599",$257.71,July,2018,$331.31
Williamson,11462,27931,4601,10515,10346,696,1773,"$3,068,103",$267.68,July,2018,$344.13
Bastrop,4598,11025,1855,4371,3902,333,564,"$1,238,577",$269.37,August,2018,$346.11
Bell,22802,55685,9223,19814,23069,1456,2123,"$6,193,932",$271.64,August,2018,$349.02
Blanco,242,524,85,167,198,24,50,"$51,694",$213.61,August,2018,$274.46
Burnet,1741,4015,638,1370,1547,145,315,"$419,457",$240.93,August,2018,$309.56
Caldwell,2539,6357,1090,2456,2249,181,381,"$695,481",$273.92,August,2018,$351.95
Coryell,3553,8499,1368,2852,3685,228,366,"$920,945",$259.20,August,2018,$333.04
Falls,1365,2836,438,859,1153,146,240,"$292,553",$214.32,August,2018,$275.37
Fayette,852,1904,306,660,707,71,160,"$202,543",$237.73,August,2018,$305.45
Freestone,1129,2477,364,839,987,99,188,"$263,135",$233.07,August,2018,$299.47
