county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,total_snap_payments,avg_snap_payment,month,year,payment_inflation_adjusted
Limestone,1567,3515,531,1202,1430,113,239,"$380,983",$243.13,March,2019,$309.86
Llano,880,1883,278,558,755,94,198,"$192,842",$219.14,March,2019,$279.29
McLennan,15224,34888,5833,12220,13790,1217,1828,"$3,781,983",$248.42,March,2019,$316.61
Milam,1763,4004,537,1385,1582,187,313,"$424,400",$240.73,March,2019,$306.81
Mills,161,371,51,115,153,18,34,"$37,917",$235.51,March,2019,$300.15
San Saba,330,719,98,228,282,39,72,"$71,801",$217.58,March,2019,$277.30
Travis,42544,92705,15940,35230,32918,2908,5709,"$10,891,038",$255.99,March,2019,$326.25
Williamson,11064,26944,4383,10108,9958,688,1807,"$2,938,782",$265.62,March,2019,$338.53
Bastrop,4188,9973,1694,3987,3418,328,546,"$1,138,686",$271.89,April,2019,$344.69
Bell,21803,52708,8656,18689,21686,1494,2183,"$5,881,915",$269.78,April,2019,$342.02
Blanco,230,472,75,145,177,21,54,"$50,621",$220.09,April,2019,$279.02
Burnet,1620,3726,580,1298,1396,152,300,"$383,381",$236.65,April,2019,$300.02
Caldwell,2336,5693,942,2209,1995,187,360,"$635,216",$271.92,April,2019,$344.73
Coryell,3446,8258,1294,2781,3540,266,377,"$873,453",$253.47,April,2019,$321.34
Falls,1297,2728,410,853,1094,130,241,"$285,326",$219.99,April,2019,$278.90
Fayette,809,1785,293,593,677,68,154,"$186,904",$231.03,April,2019,$292.89
Freestone,1049,2332,346,773,926,100,187,"$249,590",$237.93,April,2019,$301.64
Gillespie,524,1208,194,429,418,46,121,"$122,002",$232.83,April,2019,$295.17
Hays,5703,13994,2357,5288,5261,364,724,"$1,524,406",$267.30,April,2019,$338.87
Lampasas,1067,2393,313,773,1049,94,164,"$254,689",$238.70,April,2019,$302.62
Lee,766,1764,296,629,688,50,101,"$184,491",$240.85,April,2019,$305.34
Limestone,1538,3418,502,1176,1388,118,234,"$374,499",$243.50,April,2019,$308.70
Llano,879,1868,278,548,752,93,197,"$192,207",$218.67,April,2019,$277.22
McLennan,14962,34235,5730,11954,13519,1202,1830,"$3,710,324",$247.98,April,2019,$314.38
Milam,1741,3931,532,1347,1549,184,319,"$414,262",$237.94,April,2019,$301.65
Mills,157,362,48,112,151,18,33,"$39,395",$250.92,April,2019,$318.11
San Saba,321,705,93,225,276,39,72,"$71,015",$221.23,April,2019,$280.47
Travis,41707,90568,15567,34392,32070,2881,5658,"$10,648,929",$255.33,April,2019,$323.70
Williamson,10769,26053,4229,9685,9662,677,1800,"$2,848,120",$264.47,April,2019,$335.29
Bastrop,4155,9899,1694,3923,3423,335,524,"$1,123,350",$270.36,May,2019,$342.03
Bell,21703,52407,8594,18605,21520,1488,2200,"$5,827,030",$268.49,May,2019,$339.66
Blanco,232,478,71,150,178,22,57,"$48,968",$211.07,May,2019,$267.02
Burnet,1594,3666,565,1270,1375,153,303,"$382,900",$240.21,May,2019,$303.88
Caldwell,2348,5722,944,2216,2003,195,364,"$631,445",$268.93,May,2019,$340.22
Coryell,3406,8177,1260,2795,3499,257,366,"$860,436",$252.62,May,2019,$319.58
Falls,1252,2640,379,843,1045,134,239,"$271,988",$217.24,May,2019,$274.83
Fayette,802,1777,289,587,678,71,152,"$183,652",$228.99,May,2019,$289.69
Freestone,1042,2304,345,757,912,100,190,"$248,530",$238.51,May,2019,$301.73
Gillespie,500,1147,179,416,393,42,117,"$115,807",$231.61,May,2019,$293.00
Hays,5681,13923,2295,5312,5210,369,737,"$1,533,041",$269.85,May,2019,$341.38
Lampasas,1069,2417,325,772,1065,92,163,"$254,643",$238.21,May,2019,$301.35
Lee,759,1745,313,609,667,52,104,"$188,200",$247.96,May,2019,$313.69
Limestone,1527,3410,510,1170,1382,112,236,"$369,084",$241.71,May,2019,$305.78
Llano,873,1883,281,561,751,93,197,"$193,943",$222.16,May,2019,$281.05
McLennan,14926,34159,5731,11904,13508,1191,1825,"$3,702,550",$248.06,May,2019,$313.81
Milam,1725,3900,519,1342,1539,183,317,"$409,881",$237.61,May,2019,$300.59
Mills,159,359,51,106,150,20,32,"$37,944",$238.64,May,2019,$301.90
San Saba,314,679,86,215,269,38,71,"$70,860",$225.67,May,2019,$285.49
Travis,41359,89909,15503,34104,31782,2877,5643,"$10,529,387",$254.59,May,2019,$322.08
Williamson,10662,25910,4238,9628,9582,670,1792,"$2,826,219",$265.07,May,2019,$335.33
Bastrop,4205,10009,1687,3975,3467,348,532,"$1,143,985",$272.05,June,2019,$344.10
Bell,22062,53325,8726,18964,21897,1504,2234,"$5,943,642",$269.41,June,2019,$340.76
Blanco,241,495,69,157,191,23,55,"$50,235",$208.44,June,2019,$263.64
Burnet,1625,3721,589,1282,1387,157,306,"$386,571",$237.89,June,2019,$300.89
Caldwell,2390,5866,972,2292,2038,197,367,"$641,349",$268.35,June,2019,$339.42
Coryell,3420,8190,1253,2789,3522,265,361,"$862,395",$252.16,June,2019,$318.94
Falls,1278,2712,407,850,1074,142,239,"$279,750",$218.90,June,2019,$276.87
Fayette,805,1764,272,590,681,63,158,"$183,003",$227.33,June,2019,$287.53
Freestone,1022,2274,339,748,910,92,185,"$238,978",$233.83,June,2019,$295.75
Gillespie,513,1195,192,439,409,41,114,"$117,053",$228.17,June,2019,$288.60
Hays,5762,14104,2320,5364,5305,377,738,"$1,558,162",$270.42,June,2019,$342.03
Lampasas,1097,2503,352,803,1092,92,164,"$261,701",$238.56,June,2019,$301.74
Lee,776,1803,323,636,682,59,103,"$193,598",$249.48,June,2019,$315.55
Limestone,1536,3426,501,1186,1383,116,240,"$368,740",$240.07,June,2019,$303.65
Llano,876,1888,269,565,762,97,195,"$196,646",$224.48,June,2019,$283.93
McLennan,15178,34801,5824,12125,13832,1181,1839,"$3,776,519",$248.82,June,2019,$314.71
Milam,1721,3885,499,1355,1532,189,310,"$406,374",$236.13,June,2019,$298.66
Mills,158,353,48,104,150,20,31,"$37,046",$234.47,June,2019,$296.56
San Saba,311,683,86,226,266,35,70,"$70,462",$226.57,June,2019,$286.57
Travis,41878,90793,15648,34253,32303,2919,5670,"$10,649,241",$254.29,June,2019,$321.63
Williamson,10788,26255,4275,9784,9717,669,1810,"$2,878,971",$266.87,June,2019,$337.54
Bastrop,4235,10100,1677,4037,3515,342,529,"$1,151,614",$271.93,July,2019,$343.37
Bell,22381,54148,8841,19235,22314,1509,2249,"$6,024,640",$269.19,July,2019,$339.91
Blanco,252,517,73,162,198,27,57,"$51,963",$206.20,July,2019,$260.37
Burnet,1638,3770,590,1311,1404,155,310,"$392,861",$239.84,July,2019,$302.85
Caldwell,2405,5933,989,2316,2062,197,369,"$645,741",$268.50,July,2019,$339.04
Coryell,3418,8211,1267,2805,3511,264,364,"$876,514",$256.44,July,2019,$323.81
Falls,1283,2736,409,865,1093,135,234,"$286,901",$223.62,July,2019,$282.37
Fayette,821,1835,289,625,692,68,161,"$191,992",$233.85,July,2019,$295.29
Freestone,1024,2285,344,751,915,92,183,"$235,940",$230.41,July,2019,$290.94
Gillespie,513,1195,192,432,420,40,111,"$117,787",$229.60,July,2019,$289.92
Hays,5857,14297,2344,5396,5423,385,749,"$1,574,119",$268.76,July,2019,$339.37
Lampasas,1104,2505,353,807,1086,90,169,"$263,845",$238.99,July,2019,$301.78
Lee,775,1801,308,648,675,63,107,"$189,973",$245.13,July,2019,$309.53
Limestone,1537,3439,500,1193,1391,121,234,"$363,239",$236.33,July,2019,$298.42
Llano,876,1866,265,548,764,93,196,"$196,348",$224.14,July,2019,$283.02
McLennan,15337,35246,5862,12313,14036,1194,1841,"$3,837,422",$250.21,July,2019,$315.94
Milam,1741,3893,498,1348,1544,192,311,"$412,154",$236.73,July,2019,$298.92
Mills,167,382,56,111,165,20,30,"$39,462",$236.30,July,2019,$298.38
San Saba,322,719,88,235,289,33,74,"$72,574",$225.39,July,2019,$284.60
Travis,42275,91730,15803,34493,32772,2967,5695,"$10,692,846",$252.94,July,2019,$319.39
Williamson,10875,26471,4336,9862,9769,666,1838,"$2,877,289",$264.58,July,2019,$334.09
Bastrop,4286,10140,1671,4022,3567,347,533,"$1,147,875",$267.82,August,2019,$338.20
Bell,22707,54796,8947,19423,22636,1517,2273,"$6,131,145",$270.01,August,2019,$340.96
Blanco,253,524,83,163,198,24,56,"$52,814",$208.75,August,2019,$263.61
Burnet,1665,3862,612,1339,1446,156,309,"$402,335",$241.64,August,2019,$305.14
Caldwell,2444,6016,1006,2332,2102,205,371,"$665,310",$272.22,August,2019,$343.75
Coryell,3479,8394,1318,2879,3560,267,370,"$889,474",$255.67,August,2019,$322.85
Falls,1303,2786,419,886,1107,140,234,"$294,507",$226.02,August,2019,$285.41
Fayette,825,1866,308,636,693,67,162,"$193,924",$235.06,August,2019,$296.83
Freestone,1036,2315,351,762,924,91,187,"$246,325",$237.77,August,2019,$300.25
Gillespie,503,1198,191,439,423,35,110,"$115,513",$229.65,August,2019,$290.00
Hays,5972,14576,2378,5517,5540,387,754,"$1,600,836",$268.06,August,2019,$338.50
Lampasas,1104,2511,347,813,1089,94,168,"$266,432",$241.33,August,2019,$304.75
Lee,768,1789,310,646,665,63,105,"$188,875",$245.93,August,2019,$310.56
Limestone,1573,3498,505,1203,1426,127,237,"$364,594",$231.78,August,2019,$292.69
Llano,889,1889,270,550,777,90,202,"$198,474",$223.26,August,2019,$281.93
McLennan,15464,35454,5886,12348,14162,1199,1859,"$3,870,126",$250.27,August,2019,$316.04
Milam,1764,3936,509,1351,1568,198,310,"$415,892",$235.77,August,2019,$297.73
Mills,168,390,52,120,171,19,28,"$41,056",$244.38,August,2019,$308.60
San Saba,328,711,88,228,289,33,73,"$72,731",$221.74,August,2019,$280.01
Travis,42556,92283,15908,34550,33104,2994,5727,"$10,790,671",$253.56,August,2019,$320.19
Williamson,11109,27166,4448,10141,10069,676,1832,"$2,963,855",$266.80,August,2019,$336.91
Bastrop,4264,10064,1671,3963,3541,348,541,"$1,141,918",$267.80,September,2019,$337.91
Bell,22590,54595,8931,19427,22409,1536,2292,"$6,119,948",$270.91,September,2019,$341.83
Blanco,252,509,76,160,190,25,58,"$51,029",$202.50,September,2019,$255.51
Burnet,1632,3739,605,1285,1380,159,310,"$385,239",$236.05,September,2019,$297.85
Caldwell,2441,6007,1016,2333,2079,206,373,"$663,187",$271.69,September,2019,$342.82
Coryell,3507,8428,1298,2900,3583,273,374,"$900,280",$256.71,September,2019,$323.91
Falls,1289,2750,416,866,1094,142,232,"$290,836",$225.63,September,2019,$284.70
Fayette,819,1849,306,641,671,67,164,"$186,376",$227.57,September,2019,$287.15
Freestone,1036,2302,350,766,920,85,181,"$246,480",$237.92,September,2019,$300.21
Gillespie,508,1225,193,456,431,38,107,"$117,726",$231.74,September,2019,$292.41
Hays,5928,14415,2356,5411,5503,390,755,"$1,594,377",$268.96,September,2019,$339.37
Lampasas,1105,2514,342,809,1103,91,169,"$266,460",$241.14,September,2019,$304.27
Lee,758,1763,311,632,651,60,109,"$180,236",$237.78,September,2019,$300.03
Limestone,1556,3468,507,1190,1398,129,244,"$364,090",$233.99,September,2019,$295.25
Llano,859,1830,270,544,732,89,195,"$187,563",$218.35,September,2019,$275.51
McLennan,15314,35024,5818,12221,13937,1203,1845,"$3,839,113",$250.69,September,2019,$316.32
Milam,1753,3948,511,1380,1542,203,312,"$420,976",$240.15,September,2019,$303.02
Mills,168,383,48,115,171,17,32,"$39,096",$232.71,September,2019,$293.63
San Saba,321,719,97,234,285,35,68,"$75,632",$235.61,September,2019,$297.29
Travis,42336,91793,15733,34361,32931,3024,5744,"$10,790,441",$254.88,September,2019,$321.61
Williamson,11117,27155,4471,10146,10033,679,1826,"$2,988,485",$268.82,September,2019,$339.19
Bastrop,4239,10042,1661,3961,3515,359,546,"$1,153,614",$272.14,October,2019,$342.60
Bell,22518,54366,8811,19406,22311,1552,2286,"$6,164,385",$273.75,October,2019,$344.63
Blanco,255,509,78,157,190,24,60,"$51,777",$203.05,October,2019,$255.62
Burnet,1610,3662,601,1254,1333,168,306,"$384,256",$238.67,October,2019,$300.46
Caldwell,2425,5915,978,2289,2066,203,379,"$658,086",$271.38,October,2019,$341.64
Coryell,3491,8386,1302,2887,3556,266,375,"$911,495",$261.10,October,2019,$328.70
Falls,1301,2759,422,858,1107,138,234,"$294,436",$226.32,October,2019,$284.92
Fayette,818,1834,304,629,670,67,164,"$189,672",$231.87,October,2019,$291.90
Freestone,1027,2292,335,775,909,86,187,"$250,489",$243.90,October,2019,$307.05
Gillespie,514,1248,194,471,439,36,108,"$123,919",$241.09,October,2019,$303.51
Hays,5893,14375,2369,5405,5460,393,748,"$1,593,621",$270.43,October,2019,$340.45
Lampasas,1105,2527,342,813,1102,97,173,"$272,724",$246.81,October,2019,$310.71
Lee,766,1787,319,638,654,64,112,"$186,186",$243.06,October,2019,$305.99
Limestone,1538,3400,501,1158,1370,125,246,"$357,114",$232.19,October,2019,$292.31
Llano,862,1858,284,555,727,92,200,"$190,067",$220.50,October,2019,$277.59
McLennan,15212,34745,5779,12134,13773,1206,1853,"$3,844,321",$252.72,October,2019,$318.15
Milam,1740,3875,499,1342,1521,202,311,"$420,100",$241.44,October,2019,$303.95
Mills,164,368,48,112,164,14,30,"$39,867",$243.09,October,2019,$306.03
San Saba,326,724,98,240,281,35,70,"$77,318",$237.17,October,2019,$298.58
Travis,42111,91116,15473,34165,32757,2991,5730,"$10,851,421",$257.69,October,2019,$324.41
Williamson,11120,27215,4467,10206,10036,676,1830,"$3,032,272",$272.69,October,2019,$343.29
Bastrop,4225,9957,1617,3942,3493,358,547,"$1,130,712",$267.62,November,2019,$337.09
Bell,22223,53514,8597,19113,21968,1565,2271,"$6,049,706",$272.23,November,2019,$342.90
Blanco,250,506,81,156,183,24,62,"$52,308",$209.23,November,2019,$263.54
Burnet,1615,3647,564,1256,1352,173,302,"$384,689",$238.20,November,2019,$300.03
Caldwell,2371,5814,958,2267,2005,203,381,"$641,791",$270.68,November,2019,$340.95
Coryell,3417,8205,1278,2827,3465,266,369,"$885,469",$259.14,November,2019,$326.41
Falls,1279,2683,412,828,1064,143,236,"$289,468",$226.32,November,2019,$285.07
Fayette,790,1757,287,601,649,60,160,"$182,629",$231.18,November,2019,$291.19
Freestone,1031,2320,340,790,917,84,189,"$255,364",$247.69,November,2019,$311.99
Gillespie,502,1198,183,456,414,38,107,"$121,898",$242.82,November,2019,$305.85
Hays,5793,14132,2341,5314,5340,384,753,"$1,572,088",$271.38,November,2019,$341.83
Lampasas,1097,2492,334,804,1081,98,175,"$269,698",$245.85,November,2019,$309.67
Lee,751,1742,302,620,653,61,106,"$182,093",$242.47,November,2019,$305.41
Limestone,1526,3344,492,1126,1353,124,249,"$353,697",$231.78,November,2019,$291.95
Llano,841,1808,274,536,711,94,193,"$182,403",$216.89,November,2019,$273.19
McLennan,15000,34105,5619,11928,13489,1216,1853,"$3,755,894",$250.39,November,2019,$315.39
Milam,1713,3820,499,1311,1510,189,311,"$410,198",$239.46,November,2019,$301.62
Mills,167,370,52,107,165,16,30,"$39,307",$235.37,November,2019,$296.47
San Saba,314,705,93,237,269,36,70,"$74,391",$236.91,November,2019,$298.41
Travis,41228,89087,15080,33433,31859,2991,5724,"$10,546,917",$255.82,November,2019,$322.23
Williamson,11000,26836,4395,10042,9889,675,1835,"$2,982,781",$271.16,November,2019,$341.55
Bastrop,4147,9795,1599,3910,3403,355,528,"$1,111,145",$267.94,December,2019,$337.80
Bell,21729,52225,8342,18694,21378,1547,2264,"$5,889,384",$271.04,December,2019,$341.71
Blanco,241,493,77,156,176,21,63,"$52,356",$217.24,December,2019,$273.88
Burnet,1581,3580,549,1245,1327,163,296,"$374,634",$236.96,December,2019,$298.74
Caldwell,2342,5713,918,2231,1986,200,378,"$632,359",$270.01,December,2019,$340.41
Coryell,3415,8196,1286,2819,3440,279,372,"$879,262",$257.47,December,2019,$324.60
Falls,1247,2617,394,817,1033,135,238,"$281,007",$225.35,December,2019,$284.11
Fayette,773,1727,278,601,635,59,154,"$180,767",$233.85,December,2019,$294.82
Freestone,1033,2344,337,799,935,78,195,"$258,180",$249.93,December,2019,$315.10
Gillespie,493,1164,177,440,412,34,101,"$117,037",$237.40,December,2019,$299.30
Hays,5669,13809,2263,5228,5191,372,755,"$1,530,059",$269.90,December,2019,$340.27
Lampasas,1076,2429,327,768,1060,103,171,"$266,408",$247.59,December,2019,$312.15
Lee,739,1730,297,622,647,61,103,"$183,325",$248.07,December,2019,$312.75
Limestone,1510,3305,486,1112,1337,124,246,"$352,993",$233.77,December,2019,$294.72
Llano,834,1805,274,534,708,94,195,"$185,123",$221.97,December,2019,$279.85
McLennan,14675,33341,5449,11715,13128,1190,1859,"$3,681,625",$250.88,December,2019,$316.29
Milam,1673,3766,485,1321,1459,192,309,"$404,906",$242.02,December,2019,$305.12
Mills,167,365,50,105,165,17,28,"$39,452",$236.24,December,2019,$297.84
San Saba,310,703,88,246,264,34,71,"$73,781",$238.00,December,2019,$300.05
Travis,40375,87223,14712,32819,31053,2965,5674,"$10,334,211",$255.96,December,2019,$322.70
Williamson,10798,26344,4319,9856,9661,669,1839,"$2,925,638",$270.94,December,2019,$341.58
Bastrop,4082,9676,1583,3874,3349,348,522,"$1,075,506.00",$263.48,January,2020,$330.89
Bell,21769,52241,8312,18708,21394,1581,2246,"$5,793,200.00",$266.12,January,2020,$334.21
Blanco,247,490,77,148,179,24,62,"$51,816.00",$209.78,January,2020,$263.45
Burnet,1597,3624,543,1266,1359,164,292,"$378,072.00",$236.74,January,2020,$297.31
Caldwell,2305,5587,894,2174,1947,198,374,"$610,657.00",$264.93,January,2020,$332.72
Coryell,3395,8152,1259,2825,3422,272,374,"$861,897.00",$253.87,January,2020,$318.83
Falls,1237,2571,389,791,1012,140,239,"$275,297.00",$222.55,January,2020,$279.49
Fayette,768,1696,281,572,626,59,158,"$176,967.00",$230.43,January,2020,$289.39
Freestone,1036,2349,340,797,936,83,193,"$253,774.00",$244.96,January,2020,$307.64
Gillespie,487,1147,166,440,405,31,105,"$110,811.00",$227.54,January,2020,$285.76
Hays,5728,13851,2242,5225,5236,378,770,"$1,524,419.00",$266.13,January,2020,$334.22
Lampasas,1063,2406,320,764,1053,98,171,"$258,673.00",$243.34,January,2020,$305.60
Lee,737,1691,278,613,633,60,107,"$174,113.00",$236.25,January,2020,$296.70
Limestone,1516,3340,476,1139,1353,125,247,"$350,356.00",$231.11,January,2020,$290.24
Llano,841,1826,271,550,711,98,196,"$185,529.00",$220.61,January,2020,$277.06
McLennan,14524,32999,5367,11623,12960,1190,1859,"$3,579,887.00",$246.48,January,2020,$309.54
Milam,1638,3641,465,1259,1424,182,311,"$386,083.00",$235.70,January,2020,$296.01
Mills,165,370,55,108,164,15,28,"$39,814.00",$241.30,January,2020,$303.04
San Saba,310,687,90,235,258,32,72,"$70,834.00",$228.50,January,2020,$286.96
Travis,40106,86460,14544,32480,30812,2933,5691,"$10,069,972.00",$251.08,January,2020,$315.32
Williamson,10744,26054,4251,9717,9551,674,1861,"$2,832,771.00",$263.66,January,2020,$331.12
Bastrop,4093,9666,1577,3844,3374,355,516,"$1,088,453.00",$265.93,February,2020,$333.06
Bell,21536,51705,8227,18519,21122,1560,2277,"$5,783,700.00",$268.56,February,2020,$336.35
Blanco,240,481,70,152,172,26,61,"$50,595.00",$210.81,February,2020,$264.02
Burnet,1598,3622,545,1263,1353,166,295,"$383,300.00",$239.86,February,2020,$300.41
Caldwell,2279,5513,895,2135,1920,199,364,"$609,490.00",$267.44,February,2020,$334.95
Coryell,3339,7956,1233,2732,3334,281,376,"$844,487.00",$252.92,February,2020,$316.76
Falls,1235,2566,389,793,1010,135,239,"$274,070.00",$221.92,February,2020,$277.94
Fayette,765,1678,280,565,615,62,156,"$175,741.00",$229.73,February,2020,$287.72
Freestone,1024,2311,333,775,928,76,199,"$253,055.00",$247.12,February,2020,$309.50
Gillespie,483,1148,172,437,407,30,102,"$109,715.00",$227.15,February,2020,$284.49
Hays,5655,13667,2229,5138,5146,378,776,"$1,519,140.00",$268.64,February,2020,$336.45
Lampasas,1035,2328,312,723,1020,103,170,"$251,435.00",$242.93,February,2020,$304.25
Lee,751,1731,283,638,642,63,105,"$178,352.00",$237.49,February,2020,$297.44
Limestone,1499,3275,456,1109,1331,127,252,"$350,256.00",$233.66,February,2020,$292.64
Llano,844,1831,262,563,718,95,193,"$184,853.00",$219.02,February,2020,$274.31
McLennan,14478,32890,5390,11521,12926,1180,1873,"$3,600,305.00",$248.67,February,2020,$311.44
Milam,1640,3636,467,1258,1410,184,317,"$387,773.00",$236.45,February,2020,$296.14
Mills,163,366,57,106,160,15,28,"$39,274.00",$240.94,February,2020,$301.76
San Saba,310,686,89,230,263,30,74,"$72,423.00",$233.62,February,2020,$292.59
Travis,39784,85490,14371,32013,30482,2926,5698,"$10,049,207.00",$252.59,February,2020,$316.35
Williamson,10663,25819,4186,9603,9501,656,1873,"$2,818,381.00",$264.31,February,2020,$331.03
Bastrop,4143,9753,1591,3883,3391,370,518,"$1,089,046.00",$262.86,March,2020,$329.93
Bell,21383,51218,8106,18355,20933,1543,2281,"$5,716,592.00",$267.34,March,2020,$335.55
Blanco,234,484,73,149,177,25,60,"$49,599.00",$211.96,March,2020,$266.04
Burnet,1561,3503,520,1208,1314,167,294,"$370,573.00",$237.39,March,2020,$297.96
Caldwell,2304,5547,907,2120,1948,200,372,"$611,649.00",$265.47,March,2020,$333.21
Coryell,3338,7922,1201,2745,3313,292,371,"$840,128.00",$251.69,March,2020,$315.91
Falls,1237,2550,375,788,1019,134,234,"$272,804.00",$220.54,March,2020,$276.81
Fayette,764,1668,265,572,609,65,157,"$175,347.00",$229.51,March,2020,$288.07
Freestone,989,2210,321,734,877,82,196,"$243,053.00",$245.76,March,2020,$308.47
Gillespie,486,1159,170,444,411,33,101,"$111,350.00",$229.12,March,2020,$287.58
Hays,5745,13931,2272,5226,5277,388,768,"$1,521,687.00",$264.87,March,2020,$332.45
Lampasas,1033,2324,309,725,1019,101,170,"$247,293.00",$239.39,March,2020,$300.47
Lee,746,1701,269,627,634,67,104,"$177,188.00",$237.52,March,2020,$298.13
Limestone,1513,3323,466,1125,1347,130,255,"$355,583.00",$235.02,March,2020,$294.99
Llano,836,1798,252,548,712,89,197,"$183,749.00",$219.80,March,2020,$275.88
McLennan,14517,32961,5319,11605,12988,1182,1867,"$3,593,161.00",$247.51,March,2020,$310.67
Milam,1652,3641,463,1244,1438,181,315,"$390,508.00",$236.38,March,2020,$296.70
Mills,163,359,57,103,155,16,28,"$38,235.00",$234.57,March,2020,$294.42
San Saba,319,708,93,237,276,30,72,"$75,407.00",$236.39,March,2020,$296.71
Travis,39983,85722,14301,32069,30729,2956,5667,"$10,023,089.00",$250.68,March,2020,$314.64
Williamson,10806,26069,4183,9664,9684,650,1888,"$2,830,457.00",$261.93,March,2020,$328.76
Bastrop,4689,11035,1765,4363,3971,383,553,"$1,258,363.00",$268.36,April ,2020,$339.10
Bell,23736,56091,8608,19840,23661,1621,2361,"$6,362,305.00",$268.04,April ,2020,$338.70
Blanco,262,538,77,163,211,28,59,"$59,325.00",$226.43,April ,2020,$286.12
Burnet,1741,3898,556,1334,1521,178,309,"$422,832.00",$242.87,April ,2020,$306.89
Caldwell,2557,6124,985,2333,2216,206,384,"$685,793.00",$268.20,April ,2020,$338.90
Coryell,3676,8638,1287,2938,3730,301,382,"$938,809.00",$255.39,April ,2020,$322.71
Falls,1336,2721,388,833,1121,140,239,"$294,175.00",$220.19,April ,2020,$278.23
Fayette,848,1873,282,647,715,71,158,"$200,714.00",$236.69,April ,2020,$299.08
Freestone,1103,2449,343,808,1017,84,197,"$270,427.00",$245.17,April ,2020,$309.80
Gillespie,574,1352,193,502,518,35,104,"$135,210.00",$235.56,April ,2020,$297.66
Hays,6757,15969,2512,5848,6424,407,778,"$1,817,562.00",$268.99,April ,2020,$339.90
Lampasas,1104,2465,316,769,1097,108,175,"$268,560.00",$243.26,April ,2020,$307.39
Lee,825,1836,289,656,711,70,110,"$193,641.00",$234.72,April ,2020,$296.59
Limestone,1613,3538,488,1198,1466,134,252,"$380,834.00",$236.10,April ,2020,$298.34
Llano,908,1944,270,580,799,93,202,"$199,300.00",$219.49,April ,2020,$277.35
McLennan,16116,36132,5640,12555,14785,1221,1931,"$4,012,709.00",$248.99,April ,2020,$314.63
Milam,1801,3975,494,1360,1610,195,316,"$423,254.00",$235.01,April ,2020,$296.96
Mills,174,393,61,115,174,18,25,"$41,699.00",$239.65,April ,2020,$302.82
San Saba,334,733,96,239,289,33,76,"$79,072.00",$236.74,April ,2020,$299.15
Travis,46079,96602,15500,35182,36971,3150,5799,"$11,566,344.00",$251.01,April ,2020,$317.18
Williamson,12642,30075,4641,10960,11811,723,1940,"$3,403,117.00",$269.19,April ,2020,$340.15
Bastrop,4944,11631,1829,4607,4216,408,571,"$1,361,328.00",$275.35,May,2020,$347.93
Bell,24771,58292,8798,20528,24842,1684,2440,"$6,714,393.00",$271.06,May,2020,$342.51
Blanco,274,571,82,170,225,29,65,"$62,059.00",$226.49,May,2020,$286.19
Burnet,1826,4083,581,1391,1615,178,318,"$449,878.00",$246.37,May,2020,$311.31
Caldwell,2678,6431,1013,2464,2348,214,392,"$728,120.00",$271.89,May,2020,$343.56
Coryell,3834,9042,1338,3096,3907,308,393,"$998,107.00",$260.33,May,2020,$328.95
Falls,1388,2863,403,897,1170,145,248,"$310,953.00",$224.03,May,2020,$283.08
Fayette,887,1931,289,653,748,73,168,"$209,860.00",$236.60,May,2020,$298.96
Freestone,1157,2554,360,837,1068,86,203,"$289,787.00",$250.46,May,2020,$316.48
Gillespie,602,1421,198,525,555,38,105,"$147,522.00",$245.05,May,2020,$309.64
Hays,7095,16719,2605,6097,6796,422,799,"$1,949,631.00",$274.79,May,2020,$347.22
Lampasas,1153,2559,316,799,1162,106,176,"$279,917.00",$242.77,May,2020,$306.76
Lee,880,1973,316,696,769,75,117,"$209,377.00",$237.93,May,2020,$300.65
Limestone,1727,3765,506,1279,1570,140,270,"$411,244.00",$238.13,May,2020,$300.90
Llano,945,1995,278,584,833,94,206,"$211,756.00",$224.08,May,2020,$283.14
McLennan,16822,37756,5858,13082,15548,1283,1985,"$4,257,179.00",$253.07,May,2020,$319.78
Milam,1907,4213,522,1439,1727,200,325,"$462,326.00",$242.44,May,2020,$306.34
Mills,181,407,62,117,182,21,25,"$43,929.00",$242.70,May,2020,$306.67
San Saba,346,764,100,251,302,33,78,"$83,458.00",$241.21,May,2020,$304.79
Travis,48395,101093,15954,36862,39032,3282,5963,"$12,433,092.00",$256.91,May,2020,$324.63
Williamson,13259,31449,4803,11427,12469,758,1992,"$3,661,183.00",$276.13,May,2020,$348.91
Bastrop,5061,11864,1834,4719,4314,407,590,"$1,399,072.00",$276.44,June,2020,$347.40
Bell,24909,58410,8725,20529,24972,1703,2481,"$6,745,815.00",$270.82,June,2020,$340.34
Blanco,279,563,75,164,227,28,69,"$61,295.00",$219.70,June,2020,$276.10
Burnet,1865,4165,595,1409,1659,181,321,"$462,662.00",$248.08,June,2020,$311.76
Caldwell,2752,6601,1044,2536,2422,208,391,"$758,001.00",$275.44,June,2020,$346.15
Coryell,3879,9202,1357,3165,3977,307,396,"$1,018,396.00",$262.54,June,2020,$329.94
Falls,1400,2857,393,892,1177,148,247,"$308,394.00",$220.28,June,2020,$276.83
Fayette,918,2014,300,684,780,77,173,"$217,796.00",$237.25,June,2020,$298.15
Freestone,1174,2568,352,842,1078,91,205,"$292,998.00",$249.57,June,2020,$313.64
Gillespie,604,1439,213,518,558,39,111,"$151,625.00",$251.03,June,2020,$315.47
