county,census_tract,population_size,food_insecure_population_percent,food_insecure_population
Blanco,9501.02,2023,0.1068624921,216.1828215183
Blanco,9502.01,3433,0.1383917655,475.0989309615
Blanco,9502.02,3310,0.1277336453,422.798365943
Burnet,9601.01,5425,0.1395947554,757.301548045
Burnet,9601.02,2683,0.1082814275,290.5190699825
Burnet,9602,3275,0.1235736785,404.7037970875
Burnet,9603.01,2564,0.2070372414,530.8434869496
Burnet,9603.02,4667,0.1171608924,546.7898848308
Burnet,9604.01,3220,0.1272626096,409.785602912
Burnet,9604.02,3004,0.1379799747,414.4918439988
Burnet,9605.01,3960,0.1522859788,603.052476048
Burnet,9605.02,2119,0.1173831684,248.7349338396
Burnet,9606,4371,0.1111504074,485.8384307454
Burnet,9607.01,3020,0.1650101656,498.330700112
Burnet,9607.02,4366,0.1931807874,843.4273177884
Burnet,9608.01,2830,0.1361930596,385.426358668
Burnet,9608.02,2560,0.1226656232,314.023995392
Burnet,9608.03,1620,0.1115968121,180.786835602
Caldwell,9601.02,5493,0.1510595704,829.7702202072
Caldwell,9601.03,6099,0.1908185322,1163.8022278878
Caldwell,9601.04,2532,0.1556087492,394.0013529744
Caldwell,9602,5869,0.2441259422,1432.7751547718
Caldwell,9603,4381,0.1424900242,624.2487960202
Caldwell,9604,4455,0.2122386984,945.523401372
Caldwell,9605.01,5378,0.2226811392,1197.5791666176
Caldwell,9605.02,3192,0.1539986898,491.5638178416
Caldwell,9606,2722,0.1156620973,314.8322288506
Caldwell,9607.01,3119,0.2246777808,700.7699983152
Caldwell,9607.02,2901,0.1755727784,509.3366301384
Coryell,101.01,5022,0.1432009085,719.154962487
Coryell,101.02,4007,0.1417980731,568.1848789117
Coryell,102.01,8525,0.2167995531,1848.2161901775
Coryell,102.02,5144,0.1819428644,935.9140944736
Coryell,103,2349,0.193548469,454.645353681
Coryell,104,4255,0.1543347206,656.694236153
Coryell,105.01,2780,0.2373943998,659.956431444
Coryell,105.02,3468,0.2583223552,895.8619278336
Coryell,105.03,5606,0.180515355,1011.96908013
Coryell,105.04,2226,0.2667317497,593.7448748322
Coryell,106.01,4125,0.2472327716,1019.83518285
Coryell,106.03,6853,0.1805917755,1237.5954375015
Coryell,106.04,7082,0.1561134679,1105.5955796678
Coryell,107.01,4684,0.1696527532,794.6534959888
Coryell,107.02,2597,0.2185452745,567.5620778765
Coryell,108.02,6663,0.1712748438,1141.2042842394
Coryell,108.03,2573,0.1455986501,374.6253267073
Coryell,108.04,4279,0.1925515871,823.9282412009
Coryell,9800,689,0.1855539903,127.8466993167
Falls,2,3364,0.2105757692,708.3768875888
Falls,3,3429,0.2659732822,912.0223846638
Falls,4,1948,0.343777783,669.679121284
Falls,5,2272,0.1224360309,278.1746622048
Falls,7,2763,0.1479751535,408.8553491205
Falls,8,3237,0.1621546232,524.8945152984
Fayette,9701,2038,0.1310682398,267.1170727124
Fayette,9702,2255,0.1030538192,232.386362296
Fayette,9703.01,1255,0.1071501763,134.4734712565
Fayette,9703.02,4477,0.181075493,810.674982161
Fayette,9704,3580,0.1195182107,427.875194306
Fayette,9705,4430,0.1514506368,670.926321024
Fayette,9706.01,776,0.0938417758,72.8212180208
Fayette,9706.02,3877,0.18297722,709.40268194
Fayette,9707,1876,0.1116848457,209.5207705332
Freestone,1.01,2841,0.1290784031,366.7117432071
Freestone,1.02,1519,0.2317352633,352.0058649527
Freestone,2,1537,0.1803582327,277.2106036599
Freestone,3,1022,0.2324222089,237.5354974958
Freestone,4,3055,0.1864596791,569.6343196505
Freestone,6,4903,0.1815176279,889.9809295937
Freestone,7,2691,0.187115884,503.528843844
Freestone,9,2031,0.1532534144,311.2576846464
Gillespie,9501,4301,0.1284725409,552.5603984109
Gillespie,9502,3892,0.1216429661,473.4344240612
Gillespie,9503.01,1922,0.1402527698,269.5658235556
Gillespie,9503.02,5114,0.1114740157,570.0781162898
Gillespie,9504.01,2675,0.1499980557,401.2447989975
Gillespie,9504.02,4262,0.1468272781,625.7778592622
Gillespie,9505,4787,0.1596362568,764.1787613016
Hays,101,2825,0.2127090393,600.9030360225
Hays,102,5988,0.2057297868,1231.9099633584
Hays,103.02,5121,0.2514955236,1287.9085763556
Hays,103.05,5420,0.2374686312,1287.079981104
Hays,103.06,4612,0.2655694288,1224.8062056256
Hays,103.07,2421,0.2720872365,658.7231995665
Hays,103.08,1829,0.2661779548,486.8394793292
Hays,103.09,4331,0.2748945796,1190.5684242476
Hays,104.01,5213,0.2142017866,1116.6339135458
Hays,104.02,8183,0.2071467173,1695.0815876659
Hays,105,5349,0.2294101137,1227.1146981813
Hays,106.01,3952,0.2290533337,905.2187747824
Hays,106.02,4961,0.1277118751,633.5786123711
Hays,106.03,3559,0.1301685901,463.2700121659
Hays,107.02,2821,0.1797583876,507.0984114196
Hays,107.03,5547,0.1890827345,1048.8419282715
Hays,107.04,2174,0.2052951049,446.3115580526
Hays,108.06,5430,0.09606975,521.6587425
Hays,108.07,3493,0.0822024163,287.1330401359
Hays,108.09,7948,0.0891844627,708.8381095396
Hays,108.1,2506,0.1200734797,300.9041401282
Hays,108.11,3350,0.2364997928,792.27430588
Hays,108.12,5059,0.0883485263,446.9551945517
Hays,108.13,2514,0.0870373631,218.8119308334
Hays,108.14,2957,0.1327643399,392.5841530843
Hays,108.15,2127,0.0735101145,156.3560135415
Hays,108.16,12293,0.0903773124,1111.0083013332
Hays,108.17,3913,0.1044943615,408.8864365495
Hays,108.18,1711,0.0956702552,163.6918066472
Hays,109.05,10369,0.1246311707,1292.3006089883
Hays,109.09,9848,0.1595519031,1571.2671417288
Hays,109.11,3000,0.0841509832,252.4529496
Hays,109.12,8273,0.0866572488,716.9154193224
Hays,109.13,6403,0.1867131046,1195.5240087538
Hays,109.14,2958,0.0807738719,238.9291130802
Hays,109.15,8351,0.0990010032,826.7573777232
Hays,109.16,8003,0.1416483634,1133.6118522902
Hays,109.17,5577,0.1534870318,855.9971763486
Hays,109.18,5390,0.1275376278,687.427813842
Hays,109.19,9452,0.2118857709,2002.7443065468
Hays,109.2,2807,0.175381098,492.294742086
Hays,109.21,5234,0.2112043716,1105.4436809544
Hays,109.22,11793,0.1508525558,1779.0041905494
Hays,109.23,9787,0.1512323165,1480.1106815855
Hays,109.24,4853,0.1393875467,676.4477641351
Hays,109.25,5646,0.1945802189,1098.5999159094
Lampasas,9501,2976,0.1335015211,397.3005267936
Lampasas,9503.02,3631,0.1293469245,469.6586828595
Lampasas,9503.03,4329,0.1273697913,551.3838265377
Lampasas,9503.04,2635,0.1336705493,352.2218974055
Lampasas,9504,3903,0.2494594097,973.6400760591
Lampasas,9505,4355,0.1724633901,751.0780638855
Lee,1,5226,0.1130307034,590.6984559684
Lee,2,2402,0.1746923257,419.6109663314
Lee,3,3122,0.1535417261,479.3572688842
Lee,4,6793,0.2077360317,1411.1508633381
Limestone,9701,2131,0.1853214065,394.9199172515
Limestone,9702,3765,0.1847142923,695.4493105095
Limestone,9703,2416,0.295799882,714.652514912
Limestone,9704,1657,0.2407544692,398.9301554644
Limestone,9705,1929,0.237911847,458.931952863
Limestone,9706,5663,0.1868750262,1058.2732733706
Limestone,9707,1513,0.1305688969,197.5507410097
Limestone,9708,3148,0.1354930463,426.5321097524
Llano,9701,3067,0.1245016311,381.8465025837
Llano,9702,3448,0.1829756117,630.8999091416
Llano,9703,2176,0.1009643711,219.6984715136
Llano,9704.01,1714,0.0830618154,142.3679515956
Llano,9704.02,2486,0.111766236,277.850862696
Llano,9705.01,3038,0.1576569171,478.9617141498
Llano,9705.02,4037,0.1873091516,756.1670450092
Llano,9706,1671,0.1554598525,259.7734135275
McLennan,1,1887,0.2845314209,536.9107912383
McLennan,2,4151,0.2454733526,1018.9598866426
