county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,white,black,native_american,asian,pacific_islander,multi_race,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total_snap_payments,avg_snap_payment,month,year
FAYETTE,871,1962,324,669,737,77,155,953,417,7,7,3,9,566,593,1069,300,"$206,887",$238,June,2018
FISHER,196,422,66,118,187,14,37,240,66,1,0,0,0,115,159,216,47,"$51,461",$263,June,2018
FLOYD,467,1245,172,480,475,32,86,632,66,2,3,3,0,539,938,197,110,"$132,375",$283,June,2018
FOARD,66,131,10,39,62,3,17,106,3,1,0,0,0,21,18,96,17,"$10,486",$159,June,2018
FORT BEND,22764,53379,8287,19586,18815,1398,5293,15562,18247,182,3714,125,320,15229,18412,28859,6108,"$6,051,023",$266,June,2018
FRANKLIN,537,1263,159,485,508,36,75,829,112,9,3,4,8,298,191,930,142,"$126,689",$236,June,2018
FREESTONE,1086,2405,361,812,958,96,178,1241,581,6,9,0,17,551,337,1771,297,"$256,690",$236,June,2018
FRIO,1463,3627,614,1280,1315,112,306,2012,25,10,8,40,5,1527,2974,283,370,"$398,586",$272,June,2018
GAINES,670,1616,247,610,553,53,153,951,67,1,1,8,7,581,1014,464,138,"$172,544",$258,June,2018
GALVESTON,16818,37097,5825,13051,14552,1403,2266,16488,10359,161,385,65,246,9393,10131,22550,4416,"$4,295,007",$255,June,2018
GARZA,287,680,115,236,239,29,61,367,87,1,0,3,8,214,339,269,72,"$76,705",$267,June,2018
GILLESPIE,591,1507,234,571,552,42,108,993,15,6,12,1,5,475,707,640,160,"$151,670",$257,June,2018
GLASSCOCK,15,40,6,21,11,1,1,21,0,0,0,0,0,19,36,2,2,"$4,427",$295,June,2018
GOLIAD,417,1005,151,362,399,26,67,550,77,7,2,1,4,364,548,342,115,"$106,770",$256,June,2018
GONZALES,1452,3469,548,1315,1259,106,241,1626,421,59,4,5,18,1336,2031,1119,319,"$363,135",$250,June,2018
GRAY,1315,3118,443,1097,1335,86,157,1897,177,28,7,1,17,991,1043,1718,357,"$339,690",$258,June,2018
GRAYSON,6685,15336,2500,5209,6224,542,861,9364,1919,129,158,10,228,3528,2565,11056,1715,"$1,626,711",$243,June,2018
GREGG,9001,19688,3080,6857,8060,692,999,7826,6804,67,81,18,152,4740,3400,14033,2255,"$2,189,046",$243,June,2018
GRIMES,1679,3762,589,1331,1415,161,266,1769,908,10,8,8,22,1037,960,2223,579,"$419,588",$250,June,2018
GUADALUPE,5749,14244,2362,5152,5403,420,907,7658,1092,42,51,29,105,5267,7657,5007,1580,"$1,541,169",$268,June,2018
HALE,2312,5998,879,2282,2305,163,369,3014,333,15,6,18,24,2588,4306,1153,539,"$622,845",$269,June,2018
HALL,250,589,79,202,242,25,41,299,85,3,0,0,3,199,240,270,79,"$58,812",$235,June,2018
HAMILTON,447,924,116,276,412,42,78,714,12,4,2,2,2,188,145,657,122,"$90,156",$202,June,2018
HANSFORD,99,298,55,134,83,5,21,161,2,2,0,0,1,132,179,88,31,"$28,434",$287,June,2018
HARDEMAN,234,533,78,171,227,13,44,328,50,5,0,0,2,148,137,333,63,"$57,539",$246,June,2018
HARDIN,3199,7094,1043,2192,3291,240,328,4820,976,20,6,3,42,1227,360,5992,742,"$826,693",$258,June,2018
HARRIS,283847,648909,116003,249298,221351,18424,43833,206667,204599,2057,18626,1234,2773,212953,283347,297356,68206,"$76,546,314",$270,June,2018
HARRISON,4725,10438,1554,3593,4361,387,543,4342,3612,32,26,6,71,2349,1335,7892,1211,"$1,151,749",$244,June,2018
HARTLEY,46,118,22,43,34,6,13,74,3,0,0,0,0,41,65,42,11,"$10,000",$217,June,2018
HASKELL,432,959,109,291,421,35,103,562,62,0,2,3,3,327,400,460,99,"$94,331",$218,June,2018
HAYS,6016,14874,2514,5636,5635,360,729,9120,958,65,86,40,133,4472,8615,4411,1848,"$1,630,546",$271,June,2018
HEMPHILL,70,200,36,88,63,3,10,98,2,2,6,1,0,91,119,58,23,"$22,479",$321,June,2018
HENDERSON,5511,11994,1702,3808,5149,536,799,8146,1219,29,26,8,67,2499,1526,8985,1483,"$1,311,174",$238,June,2018
HIDALGO,91691,233704,39117,98648,68473,5083,22383,143197,714,364,397,328,59,88645,209656,5427,18621,"$26,536,076",$289,June,2018
HILL,2218,4887,671,1706,1962,210,338,2845,697,19,13,5,49,1259,1039,3185,663,"$513,180",$231,June,2018
HOCKLEY,1196,2902,454,1025,1164,80,179,1513,141,12,9,13,14,1200,1850,739,313,"$308,662",$258,June,2018
HOOD,2161,5099,794,1736,2092,201,276,3733,110,22,12,9,21,1192,835,3654,610,"$555,667",$257,June,2018
HOPKINS,2073,4654,689,1561,1898,195,311,2923,659,27,16,3,31,995,724,3419,511,"$477,393",$230,June,2018
HOUSTON,1822,3704,546,1165,1576,140,277,1358,1492,14,7,1,23,809,433,2793,478,"$420,597",$231,June,2018
HOWARD,1633,4058,728,1466,1561,116,187,2479,320,23,6,9,18,1203,2150,1506,402,"$451,019",$276,June,2018
HUDSPETH,379,865,114,276,297,41,137,489,15,0,1,1,4,355,647,152,66,"$87,827",$232,June,2018
HUNT,5538,12204,1847,4037,5128,476,716,6793,2194,58,49,21,74,3015,2091,8631,1482,"$1,318,671",$238,June,2018
HUTCHINSON,1035,2489,375,856,1059,99,100,1690,129,34,7,3,16,610,694,1521,274,"$284,600",$275,June,2018
IRION,31,61,8,19,24,3,7,45,2,0,0,1,0,13,18,36,7,"$5,556",$179,June,2018
JACK,384,912,123,341,352,25,71,680,16,4,1,0,1,210,194,610,108,"$100,871",$263,June,2018
JACKSON,798,1922,284,719,728,68,123,948,300,6,25,7,15,621,845,860,217,"$214,009",$268,June,2018
JASPER,2731,6002,889,1968,2487,231,427,3133,1612,17,15,2,47,1176,439,4814,749,"$664,960",$243,June,2018
JEFF DAVIS,52,100,7,28,31,6,28,54,1,0,1,0,1,43,58,29,13,"$8,911",$171,June,2018
JEFFERSON,19866,42912,7411,14189,17179,1633,2500,10245,21215,160,776,54,151,10311,7304,30649,4959,"$4,910,990",$247,June,2018
JIM HOGG,586,1518,239,563,558,33,125,807,1,6,0,3,4,697,1324,52,142,"$160,653",$274,June,2018
JIM WELLS,4090,9851,1567,3401,3841,292,750,5226,91,18,19,12,8,4477,8015,903,933,"$1,073,890",$263,June,2018
JOHNSON,7320,17654,2744,6353,7054,602,901,11798,886,92,103,98,166,4511,4371,11376,1907,"$1,949,229",$266,June,2018
JONES,892,2090,273,723,871,74,149,1242,142,16,12,2,12,664,760,1099,231,"$212,414",$238,June,2018
KARNES,1001,2449,401,874,920,76,178,1292,89,5,4,7,5,1047,1776,424,249,"$270,730",$270,June,2018
KAUFMAN,5421,13349,2124,5096,5037,392,700,6933,3204,42,73,7,69,3021,2813,9106,1430,"$1,489,283",$275,June,2018
KENDALL,765,1741,285,603,658,53,142,1084,23,24,8,4,17,581,798,723,220,"$187,520",$245,June,2018
KENEDY,20,54,8,22,17,4,3,24,0,0,0,1,0,29,47,3,4,"$5,403",$270,June,2018
KENT,23,64,6,26,25,1,6,48,0,0,0,0,1,15,21,37,6,"$6,619",$288,June,2018
KERR,2320,5123,793,1662,2133,190,345,3280,143,24,27,3,28,1618,2021,2502,600,"$541,199",$233,June,2018
KIMBLE,188,427,63,142,169,11,42,337,5,2,1,0,1,81,175,209,43,"$42,058",$224,June,2018
KING,2,6,1,3,1,1,0,6,0,0,0,0,0,0,0,6,0,$436,$218,June,2018
KINNEY,198,432,54,126,169,13,70,232,14,0,0,0,0,186,286,97,49,"$39,217",$198,June,2018
KLEBERG,2989,6762,963,2255,2893,220,431,3685,241,18,17,4,5,2792,5348,878,536,"$750,603",$251,June,2018
KNOX,215,501,67,173,208,13,40,278,62,2,1,0,2,156,202,237,62,"$51,380",$239,June,2018
LAMAR,3820,7986,1257,2484,3319,333,593,4110,2019,81,15,10,102,1649,686,6254,1046,"$848,635",$222,June,2018
LAMB,948,2294,310,831,890,70,193,1283,156,8,1,11,4,831,1565,495,234,"$233,971",$247,June,2018
LAMPASAS,1062,2397,333,784,1050,85,145,1580,86,10,19,25,25,652,634,1418,345,"$257,902",$243,June,2018
LA SALLE,554,1312,207,451,449,37,168,709,9,2,2,10,0,580,1104,82,126,"$134,734",$243,June,2018
LAVACA,905,2135,368,763,797,64,143,1188,355,10,6,2,35,539,762,1105,268,"$238,527",$264,June,2018
LEE,838,1987,318,749,763,57,100,982,336,8,9,2,19,631,706,992,289,"$205,113",$245,June,2018
LEON,964,2044,327,662,790,103,162,1225,283,8,10,1,16,501,360,1358,326,"$222,826",$231,June,2018
LIBERTY,5667,13022,2306,4809,4724,464,719,7688,1580,34,29,9,64,3618,3615,7857,1550,"$1,483,665",$262,June,2018
LIMESTONE,1701,3798,557,1335,1535,120,251,1779,917,15,9,2,37,1039,871,2428,499,"$401,571",$236,June,2018
LIPSCOMB,76,190,29,78,68,5,10,127,2,3,0,0,1,57,83,80,27,"$20,709",$272,June,2018
LIVE OAK,634,1536,245,514,625,42,110,1039,25,7,1,1,4,459,943,437,156,"$167,967",$265,June,2018
LLANO,922,1989,303,577,817,109,183,1474,44,9,6,2,10,444,367,1324,298,"$207,036",$225,June,2018
LOVING,2,7,1,4,2,0,0,7,0,0,0,0,0,0,1,6,0,$884,$442,June,2018
LUBBOCK,17356,41324,6622,14443,16878,1329,2052,18317,6672,153,158,66,178,15780,21800,15090,4434,"$4,522,309",$261,June,2018
LYNN,383,955,136,348,365,38,68,449,33,0,1,6,7,459,657,180,118,"$97,081",$253,June,2018
MCCULLOCH,544,1128,151,342,434,62,139,772,15,4,0,5,4,328,431,528,169,"$108,767",$200,June,2018
MCLENNAN,16219,37075,6366,12810,14876,1217,1806,14197,10346,123,181,30,287,11911,11127,20764,5184,"$4,044,612",$249,June,2018
MCMULLEN,24,44,4,12,23,1,4,33,1,0,0,0,0,10,17,22,5,"$5,305",$221,June,2018
MADISON,822,1894,311,679,703,77,124,779,553,6,5,2,9,540,387,1212,295,"$200,517",$244,June,2018
MARION,1037,2076,240,616,900,127,193,1073,558,11,11,1,16,406,82,1733,261,"$226,631",$219,June,2018
MARTIN,214,592,107,239,198,14,34,382,32,3,1,2,0,172,392,141,59,"$65,796",$307,June,2018
MASON,136,280,43,82,103,13,39,195,2,0,2,1,0,80,146,97,37,"$26,276",$193,June,2018
MATAGORDA,2468,5734,1025,2027,2093,187,402,2345,1095,17,49,7,38,2183,2500,2472,762,"$644,405",$261,June,2018
MAVERICK,6614,16341,2372,5476,5430,509,2554,7617,64,192,62,47,10,8349,14549,442,1350,"$1,673,867",$253,June,2018
MEDINA,2589,6233,921,2116,2536,197,463,3867,92,23,20,20,17,2194,4211,1367,655,"$663,250",$256,June,2018
MENARD,97,231,30,81,85,9,26,169,7,1,1,0,1,52,112,93,26,"$22,754",$235,June,2018
MIDLAND,4999,12757,2667,4641,4440,308,701,7368,1729,55,165,21,71,3348,7200,4315,1242,"$1,460,817",$292,June,2018
MILAM,1927,4357,617,1487,1744,189,320,2382,761,8,7,12,35,1152,1472,2299,586,"$474,491",$246,June,2018
MILLS,183,407,57,125,172,23,30,312,3,0,5,0,1,86,102,245,60,"$39,926",$218,June,2018
MITCHELL,369,904,134,310,349,42,69,505,110,5,1,3,4,276,371,443,90,"$98,403",$267,June,2018
MONTAGUE,1003,2219,327,692,952,104,144,1747,29,8,3,0,21,411,268,1708,243,"$239,831",$239,June,2018
MONTGOMERY,19007,44516,8023,16889,15815,1296,2493,26154,5272,156,421,79,351,12083,14777,24818,4921,"$4,975,973",$262,June,2018
MOORE,751,2090,393,817,728,45,107,996,58,12,183,5,5,831,1195,663,232,"$221,533",$295,June,2018
MORRIS,1144,2419,344,779,1016,113,167,1099,700,5,9,0,22,584,222,1856,341,"$262,798",$230,June,2018
MOTLEY,65,152,14,52,58,5,23,109,5,0,0,1,1,36,39,89,24,"$11,947",$184,June,2018
NACOGDOCHES,4697,10562,1754,3845,4142,315,506,4151,3332,28,39,11,68,2933,2462,6885,1215,"$1,167,887",$249,June,2018
NAVARRO,3715,8593,1489,3095,3290,277,442,4055,1917,22,36,105,85,2373,2325,5262,1006,"$954,615",$257,June,2018
NEWTON,1072,2144,238,616,1036,100,154,1040,647,12,3,0,24,418,66,1815,263,"$243,702",$227,June,2018
NOLAN,1071,2555,388,892,1037,87,151,1445,210,11,1,5,23,860,1141,1156,258,"$275,088",$257,June,2018
NUECES,29539,66614,10103,22348,27808,2233,4122,40907,3256,141,283,110,148,21769,48622,11913,6079,"$7,603,913",$257,June,2018
OCHILTREE,299,749,135,286,263,19,46,466,24,5,0,0,1,253,415,263,71,"$81,136",$271,June,2018
OLDHAM,35,84,15,25,34,2,8,62,0,0,3,0,1,18,12,64,8,"$9,353",$267,June,2018
ORANGE,5570,12387,1988,3900,5427,468,604,7343,2468,51,64,18,63,2380,912,9998,1477,"$1,427,618",$256,June,2018
PALO PINTO,1616,3691,567,1202,1527,164,231,2480,154,12,15,6,39,985,721,2450,520,"$391,341",$242,June,2018
PANOLA,1527,3350,471,1142,1337,142,258,1746,887,15,17,0,17,668,268,2665,417,"$366,463",$240,June,2018
PARKER,4058,9552,1493,3226,3921,356,556,6957,305,41,41,10,69,2129,1590,6857,1105,"$1,023,827",$252,June,2018
PARMER,282,793,135,345,244,19,50,446,22,2,4,1,0,318,581,141,71,"$77,055",$273,June,2018
PECOS,767,1857,301,669,602,60,225,1213,45,4,11,8,8,568,1403,308,146,"$192,834",$251,June,2018
POLK,3737,7952,1147,2414,3451,386,554,4942,1017,96,27,9,46,1815,974,5969,1009,"$877,180",$235,June,2018
POTTER,9403,22449,3521,8121,8805,734,1268,10062,3686,131,941,46,160,7423,8712,10776,2961,"$2,424,550",$258,June,2018
PRESIDIO,765,1525,160,455,369,57,484,671,4,2,3,12,0,833,1319,43,163,"$147,855",$193,June,2018
RAINS,646,1412,175,455,599,71,112,1063,48,3,4,2,3,289,122,1132,158,"$147,638",$229,June,2018
RANDALL,3744,9161,1484,3179,3813,279,406,5553,755,46,112,6,90,2599,2718,5280,1163,"$970,764",$259,June,2018
REAGAN,91,239,48,95,73,7,16,143,6,0,5,3,0,82,168,40,31,"$27,764",$305,June,2018
REAL,213,483,69,144,200,21,49,353,2,4,2,0,1,121,165,248,70,"$50,232",$236,June,2018
RED RIVER,942,1816,224,525,754,88,225,931,487,9,1,2,15,371,159,1372,285,"$181,036",$192,June,2018
REEVES,706,1654,293,568,522,61,210,1037,36,4,1,3,1,572,1364,133,157,"$169,054",$239,June,2018
REFUGIO,462,1080,160,359,428,44,89,524,120,2,1,3,4,426,640,341,99,"$115,280",$250,June,2018
ROBERTS,11,21,4,4,11,0,2,19,0,0,0,0,0,2,2,16,3,"$2,528",$230,June,2018
ROBERTSON,1455,3069,468,1025,1251,106,219,1078,1136,6,10,3,19,817,592,1981,496,"$342,286",$235,June,2018
ROCKWALL,1679,4221,666,1694,1488,127,246,2099,877,28,66,15,39,1097,1122,2677,422,"$457,736",$273,June,2018
RUNNELS,570,1265,151,406,541,40,127,805,40,1,1,5,10,403,568,569,128,"$125,161",$220,June,2018
RUSK,3071,6914,972,2496,2756,267,423,3400,1758,23,11,3,48,1671,1111,5001,802,"$743,816",$242,June,2018
SABINE,945,1966,245,563,937,95,126,1321,261,15,2,1,23,343,89,1654,223,"$217,710",$230,June,2018
SAN AUGUSTINE,818,1649,197,527,721,66,138,771,545,1,1,0,6,325,119,1321,209,"$180,727",$221,June,2018
SAN JACINTO,2391,4933,645,1486,2238,219,345,3131,680,17,19,2,36,1048,644,3729,560,"$579,146",$242,June,2018
SAN PATRICIO,4925,12120,1905,4206,4779,369,861,7252,307,34,37,21,25,4444,8400,2552,1168,"$1,323,441",$269,June,2018
SAN SABA,338,746,102,232,317,36,59,499,5,0,2,1,3,236,285,343,118,"$78,095",$231,June,2018
SCHLEICHER,103,255,39,84,93,10,29,174,3,0,0,1,0,77,181,49,25,"$25,011",$243,June,2018
SCURRY,755,1935,309,726,732,59,109,1160,81,5,2,2,15,670,1071,670,194,"$210,199",$278,June,2018
SHACKELFORD,148,326,42,93,145,9,37,261,6,1,1,0,1,56,39,252,35,"$34,797",$235,June,2018
SHELBY,2172,4785,733,1733,1855,167,297,2335,1371,10,38,7,28,996,898,3397,490,"$530,640",$244,June,2018
SHERMAN,53,164,30,74,49,3,8,125,0,0,0,0,0,39,110,46,8,"$14,816",$280,June,2018
SMITH,11720,27205,4571,9689,10610,879,1456,10965,8405,85,140,20,176,7414,6473,17823,2909,"$2,963,824",$253,June,2018
SOMERVELL,317,702,110,237,281,28,46,466,16,2,14,0,5,199,164,453,85,"$77,442",$244,June,2018
STARR,9222,21747,3218,7935,6749,596,3249,10744,38,19,17,68,3,10858,19377,286,2084,"$2,325,797",$252,June,2018
STEPHENS,697,1521,215,442,715,59,90,1050,47,1,4,0,4,415,356,1002,163,"$163,483",$235,June,2018
STERLING,32,81,15,27,30,4,5,63,1,0,0,0,0,17,41,35,5,"$8,247",$258,June,2018
STONEWALL,52,112,22,29,41,5,15,80,6,0,3,0,0,23,33,57,22,"$11,060",$213,June,2018
SUTTON,129,324,56,113,113,6,36,222,2,1,3,1,1,94,237,59,28,"$32,230",$250,June,2018
SWISHER,486,1246,184,463,477,37,85,557,157,8,2,8,2,512,668,443,135,"$133,862",$275,June,2018
TARRANT,95024,228719,38718,86964,83210,6561,13266,80306,72099,925,7798,705,1885,65001,72429,132197,24093,"$25,870,039",$272,June,2018
TAYLOR,8580,19713,3004,6551,8509,610,1039,10871,3419,79,152,43,272,4877,6916,10857,1940,"$2,080,348",$242,June,2018
TERRELL,45,93,11,23,36,4,19,69,5,0,1,0,0,18,53,34,6,"$9,041",$201,June,2018
TERRY,832,2056,351,733,750,62,160,1081,114,5,4,10,3,839,1390,434,232,"$213,332",$256,June,2018
THROCKMORTON,68,138,19,34,65,4,16,106,1,0,2,0,0,29,17,104,17,"$12,245",$180,June,2018
TITUS,2152,5060,959,1961,1717,158,265,2203,851,14,17,19,19,1937,2124,2370,566,"$537,752",$250,June,2018
TOM GREEN,5525,12576,1970,4210,5113,426,857,7467,783,57,31,20,97,4121,6604,4599,1373,"$1,304,301",$236,June,2018
TRAVIS,45127,99205,17241,38350,34964,2916,5734,46452,17223,424,2416,183,688,31819,50281,35993,12931,"$11,620,653",$258,June,2018
TRINITY,1461,2877,351,820,1354,144,208,1757,412,13,13,1,18,663,264,2289,324,"$334,258",$229,June,2018
TYLER,1563,3327,410,1003,1544,159,211,2194,435,23,5,1,32,637,154,2758,415,"$368,645",$236,June,2018
UPSHUR,2468,5630,773,1906,2356,249,346,3658,703,29,11,2,48,1179,501,4436,693,"$614,749",$249,June,2018
UPTON,149,430,79,167,155,12,17,295,15,1,2,0,2,115,231,149,50,"$47,735",$320,June,2018
UVALDE,2392,5936,923,2001,2279,191,542,3902,39,9,8,22,10,1946,4873,557,506,"$619,821",$259,June,2018
VAL VERDE,4394,10851,1738,3778,3596,293,1446,5093,122,16,7,37,5,5571,9255,582,1014,"$1,150,624",$262,June,2018
VAN ZANDT,2864,6509,956,2128,2746,243,436,4684,403,26,23,4,29,1340,795,4982,732,"$693,546",$242,June,2018
VICTORIA,6058,14546,2331,5279,5754,416,766,7114,1242,48,50,29,93,5970,8948,3969,1629,"$1,641,526",$271,June,2018
WALKER,3233,6650,1098,2120,2800,217,415,2607,2259,18,22,7,51,1686,1196,4615,839,"$754,231",$233,June,2018
WALLER,2526,5971,1056,2376,2070,155,314,2487,1641,12,14,4,18,1795,2330,2946,695,"$662,778",$262,June,2018
WARD,504,1208,212,442,427,39,88,773,89,4,3,2,12,325,684,399,125,"$135,972",$270,June,2018
WASHINGTON,1576,3487,606,1206,1295,124,256,1148,1197,10,24,1,29,1078,761,2100,626,"$357,815",$227,June,2018
WEBB,28018,73863,13010,30450,22737,1525,6141,40876,176,70,100,93,8,32540,66019,1231,6613,"$8,262,117",$295,June,2018
WHARTON,2495,6004,1048,2234,2160,187,375,2164,1353,19,14,10,25,2419,2975,2273,756,"$658,681",$264,June,2018
WHEELER,181,453,77,161,172,13,30,279,27,1,3,0,4,139,129,256,68,"$46,654",$258,June,2018
WICHITA,8606,18708,2846,6032,8171,689,970,10162,3267,108,115,24,291,4741,4409,12242,2057,"$1,990,010",$231,June,2018
WILBARGER,960,2115,283,703,916,77,136,1127,298,7,58,4,11,610,697,1187,231,"$206,073",$215,June,2018
WILLACY,2550,6008,844,2155,2141,176,692,3550,39,9,12,12,3,2383,5366,177,465,"$616,336",$242,June,2018
WILLIAMSON,11504,28058,4642,10587,10381,695,1753,15093,4349,163,580,75,379,7419,10839,13675,3544,"$3,081,550",$268,June,2018
WILSON,1762,4371,721,1501,1777,114,258,2670,133,22,23,12,11,1500,2441,1401,529,"$478,476",$272,June,2018
WINKLER,359,857,137,291,325,24,80,590,27,3,0,4,2,231,499,269,89,"$96,466",$269,June,2018
WISE,2259,5581,898,2046,2161,196,280,3830,129,41,19,11,32,1519,1305,3534,742,"$603,779",$267,June,2018
WOOD,2255,4874,671,1514,2077,253,359,3433,312,32,19,6,28,1044,531,3788,555,"$512,647",$227,June,2018
YOAKUM,287,689,122,252,239,22,54,323,19,3,3,0,0,341,479,135,75,"$75,940",$265,June,2018
YOUNG,1018,2248,306,750,941,92,159,1586,57,14,6,9,12,564,476,1495,277,"$232,277",$228,June,2018
ZAPATA,1651,4228,686,1682,1340,108,412,2239,14,4,5,5,0,1961,3749,122,357,"$472,121",$286,June,2018
ZAVALA,1625,3836,573,1332,1448,115,368,1862,50,18,6,21,4,1875,3356,151,329,"$421,776",$260,June,2018
Call Centers,1530,3624,676,1403,1341,71,133,1835,604,19,98,15,41,1012,1584,1707,333,"$317,051",$207,June,2018
State Total,1584140,3707007,611781,1377070,1346478,110579,261099,1683461,716878,12723,58684,7539,19423,1208299,1836491,1483209,387307,"$417,177,909",$263,June,2018
ANDERSON,3147,7010,1049,2316,2953,261,431,3437,1735,30,19,10,60,1719,1126,5030,854,"$763,918",$243,July,2018
ANDREWS,716,1738,283,635,656,43,121,1164,50,9,0,5,6,504,1132,446,160,"$195,697",$273,July,2018
ANGELINA,6465,14959,2339,5359,5988,477,796,6597,3659,40,41,17,83,4522,3326,9877,1756,"$1,602,309",$248,July,2018
ARANSAS,1494,3077,397,878,1388,170,244,2083,60,13,33,9,8,871,1117,1593,367,"$350,293",$234,July,2018
ARCHER,278,615,91,199,267,26,32,460,10,6,4,0,17,118,82,461,72,"$62,715",$226,July,2018
ARMSTRONG,49,122,14,51,45,1,11,90,3,0,0,0,2,27,23,81,18,"$11,858",$242,July,2018
ATASCOSA,3546,9093,1464,3318,3436,286,589,5434,98,15,15,33,5,3493,6591,1594,908,"$1,004,920",$283,July,2018
AUSTIN,1236,2852,489,1040,1027,82,214,1292,605,7,8,4,28,908,972,1527,353,"$305,954",$248,July,2018
BAILEY,364,977,175,377,325,22,78,509,13,2,1,1,1,450,715,137,125,"$101,739",$280,July,2018
BANDERA,887,1929,287,611,790,87,154,1414,26,14,2,6,7,460,518,1160,251,"$216,016",$244,July,2018
BASTROP,4540,10882,1836,4322,3835,328,561,6171,1171,68,44,23,116,3289,5123,4306,1453,"$1,217,970",$268,July,2018
BAYLOR,264,542,60,165,242,26,49,396,35,3,0,2,1,105,79,396,67,"$50,850",$193,July,2018
BEE,2365,5542,831,1869,2281,182,379,3574,164,10,13,15,10,1756,4119,924,499,"$606,587",$256,July,2018
BELL,22573,55245,9191,19639,22909,1429,2077,19874,18454,263,625,529,1019,14481,14280,34028,6937,"$6,158,071",$273,July,2018
BEXAR,124111,295207,47705,105717,114028,8689,19068,143044,29519,878,3136,814,1377,116439,203261,63031,28915,"$33,275,829",$268,July,2018
BLANCO,233,500,78,163,189,22,48,356,12,2,1,0,3,126,146,280,74,"$47,819",$205,July,2018
BORDEN,16,39,9,17,11,0,2,31,1,0,0,0,0,7,22,12,5,"$4,672",$292,July,2018
BOSQUE,966,2177,279,724,937,84,153,1458,122,6,9,2,17,563,495,1389,293,"$228,359",$236,July,2018
BOWIE,6926,15638,2608,5211,6461,522,836,5665,6359,46,50,17,149,3352,833,13109,1696,"$1,712,519",$247,July,2018
BRAZORIA,13358,31658,5367,11603,11758,921,2009,15416,5075,112,576,42,179,10258,12746,15209,3703,"$3,610,869",$270,July,2018
BRAZOS,8392,19783,3680,7380,7367,461,895,7426,5731,77,169,28,168,6184,6933,10024,2826,"$2,187,112",$261,July,2018
BREWSTER,425,789,92,213,314,45,125,423,24,4,3,7,4,324,459,231,99,"$81,298",$191,July,2018
BRISCOE,61,148,15,52,55,8,18,84,8,0,1,0,2,53,62,66,20,"$13,844",$227,July,2018
BROOKS,1156,2719,383,916,1075,102,243,1445,11,5,2,6,0,1250,2376,104,239,"$295,724",$256,July,2018
BROWN,2474,5359,749,1619,2379,250,362,3621,319,13,13,6,36,1351,1267,3424,668,"$553,279",$224,July,2018
BURLESON,974,2116,338,684,844,98,152,1019,502,8,2,2,30,553,426,1334,356,"$224,039",$230,July,2018
BURNET,1746,4052,632,1408,1542,154,316,2798,144,14,30,6,25,1035,1228,2251,573,"$423,606",$243,July,2018
CALDWELL,2517,6278,1048,2436,2243,181,370,3725,440,31,16,17,28,2021,3730,1770,778,"$677,648",$269,July,2018
CALHOUN,1339,3247,523,1144,1277,113,190,1790,119,10,125,4,8,1191,1872,1000,375,"$362,356",$271,July,2018
CALLAHAN,702,1716,250,562,744,54,106,1343,47,14,8,4,4,296,220,1302,194,"$176,327",$251,July,2018
CAMERON,46429,115879,17873,45440,38341,2954,11271,74464,433,137,155,130,47,40513,103622,3546,8711,"$12,584,146",$271,July,2018
CAMP,992,2344,383,865,907,76,113,1014,603,11,2,4,11,699,530,1487,327,"$240,328",$242,July,2018
CARSON,130,319,46,108,149,3,13,260,4,1,0,0,0,54,33,241,45,"$33,669",$259,July,2018
CASS,2576,5342,722,1557,2499,209,355,2815,1450,13,12,6,39,1007,206,4541,595,"$607,219",$236,July,2018
CASTRO,392,1030,157,412,365,34,62,597,22,5,3,2,1,400,835,109,86,"$110,799",$283,July,2018
CHAMBERS,1324,3161,536,1161,1182,115,167,1830,452,11,13,1,24,830,842,1952,367,"$351,735",$266,July,2018
CHEROKEE,3370,8122,1418,2959,3045,249,451,4311,1709,32,18,3,52,1997,1860,5410,852,"$859,644",$255,July,2018
CHILDRESS,428,912,119,268,420,37,68,497,69,2,4,1,2,337,335,445,132,"$96,721",$226,July,2018
CLAY,410,855,104,257,388,32,74,675,15,7,1,0,14,143,64,690,101,"$88,242",$215,July,2018
COCHRAN,252,580,75,201,222,28,54,265,42,4,1,2,0,266,397,120,63,"$61,838",$245,July,2018
COKE,128,298,51,88,127,9,23,235,2,2,1,0,2,56,77,194,27,"$32,073",$251,July,2018
COLEMAN,588,1239,167,366,527,49,130,884,41,4,1,2,10,297,262,828,149,"$126,125",$214,July,2018
COLLIN,16855,39583,6312,15116,13135,932,4088,15760,9930,202,2283,106,503,10799,10592,24234,4757,"$4,364,548",$259,July,2018
COLLINGSWORTH,173,451,45,176,196,11,23,237,37,3,0,0,2,172,258,147,46,"$46,686",$270,July,2018
COLORADO,1033,2348,392,831,837,94,194,918,639,5,10,1,13,762,876,1169,303,"$239,415",$232,July,2018
COMAL,3848,9372,1573,3275,3635,293,596,6017,363,33,53,30,72,2804,4128,4256,988,"$1,011,235",$263,July,2018
COMANCHE,737,1711,230,575,669,75,162,1075,28,2,3,2,4,597,646,855,210,"$175,528",$238,July,2018
CONCHO,122,293,45,99,106,10,33,189,6,1,0,0,7,90,138,128,27,"$26,316",$216,July,2018
COOKE,1905,4670,830,1770,1649,167,254,2900,356,17,20,5,28,1344,1224,2884,562,"$508,976",$267,July,2018
