county_name,number_of_cases,eligible_individuals,individuals_under_5,individuals_5-17,individuals_18-59,individuals_60-64,individuals_over_64,white,black,native_american,asian,pacific_islander,multi_race,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total_snap_payments,avg_snap_payment,month,year
CRANE,88,209,23,79,84,9,14,101,43,0,0,1,1,63,79,113,17,"$22,425",$255,January,2018
CROCKETT,162,403,74,134,149,11,35,230,13,0,9,0,2,149,285,83,35,"$45,059",$278,January,2018
CROSBY,121,301,48,114,102,15,22,184,3,9,0,2,0,103,224,57,20,"$30,227",$250,January,2018
CULBERSON,507,1325,195,470,536,34,90,653,62,6,1,1,0,602,963,248,114,"$133,324",$263,January,2018
DALLAM,199,412,67,120,139,25,61,264,1,6,0,1,1,139,309,56,47,"$41,853",$210,January,2018
DALLAS,267,682,110,282,238,19,33,419,12,3,3,0,1,244,348,267,67,"$70,121",$263,January,2018
DAWSON,161617,365786,63344,143933,125853,10731,21925,100551,131126,1361,8610,445,1866,121827,141460,184627,39699,"$41,719,666",$258,January,2018
DEAF SMITH,827,2083,337,802,726,57,161,1180,85,6,1,5,7,799,1622,271,190,"$221,440",$268,January,2018
DELTA,1132,2908,518,1087,1014,65,224,1488,58,10,7,4,1,1340,2286,304,318,"$314,285",$278,January,2018
DENTON,319,695,114,200,287,31,63,455,109,2,3,0,2,124,59,544,92,"$65,983",$207,January,2018
DEWITT,18175,43309,7448,16433,15724,919,2785,18821,10251,203,2087,67,436,11444,13002,25753,4554,"$4,759,658",$262,January,2018
DICKENS,1413,3335,490,1158,1336,115,236,1832,440,7,4,9,50,993,1694,1249,392,"$355,366",$251,January,2018
DIMMIT,126,274,31,89,106,13,35,154,14,0,0,0,0,106,125,118,31,"$28,764",$228,January,2018
DONLEY,1177,2828,451,980,1019,86,292,1346,14,7,2,78,2,1379,2403,138,287,"$304,048",$258,January,2018
DUVAL,177,389,44,125,174,18,28,251,48,0,0,1,2,87,63,270,56,"$41,412",$234,January,2018
EASTLAND,1440,3240,429,1062,1341,93,315,1629,9,1,3,4,0,1594,2791,135,314,"$345,234",$240,January,2018
ECTOR,1297,2850,409,843,1237,141,220,2105,73,33,11,5,23,600,433,2069,348,"$296,235",$228,January,2018
EDWARDS,8370,20760,3821,7610,7507,526,1296,10941,1584,92,71,68,77,7927,13283,5332,2145,"$2,385,938",$285,January,2018
ELLIS,119,304,48,110,98,8,40,209,0,2,0,1,0,92,222,43,39,"$29,898",$251,January,2018
EL PASO,6764,16501,2701,6189,6371,482,758,8652,3326,62,84,14,91,4272,5292,9613,1596,"$1,813,302",$268,January,2018
