county,census_tract,population,food_insecure_population_percent,food_insecure_population
Blanco,9502.01,3606,0.1479015443,533.3329687458
Blanco,9502.02,3440,0.1445846295,497.37112548
Burnet,9601.01,5244,0.1613193811,845.9588344884
Burnet,9601.02,2758,0.1332657698,367.5469931084
Burnet,9602,3481,0.1395624689,485.8169542409
Burnet,9603.01,2537,0.2162036372,548.5086275764
Burnet,9603.02,4970,0.1413462488,702.490856536
Burnet,9604.01,3230,0.1400644164,452.408064972
Burnet,9604.02,3364,0.1489065808,500.9217378112
Burnet,9605.01,4102,0.164245237,673.733962174
Burnet,9605.02,2197,0.1369946271,300.9771957387
Burnet,9606,4435,0.1325370686,587.801899241
Burnet,9607.01,2990,0.1902204172,568.759047428
Burnet,9607.02,4509,0.2291496208,1033.2356401872
Burnet,9608.01,2854,0.1671128255,476.940003977
Burnet,9608.02,2592,0.1333462077,345.6333703584
Burnet,9608.03,1801,0.1400801345,252.2843222345
Caldwell,9601.02,5225,0.1568536342,819.560238695
Caldwell,9601.03,6744,0.2239488196,1510.3108393824
Caldwell,9601.04,2760,0.1756671973,484.841464548
Caldwell,9602,5844,0.2481188913,1450.0068007572
Caldwell,9603,4540,0.1755104103,796.817262762
Caldwell,9604,4641,0.2116086219,982.0756142379
Caldwell,9605.01,5199,0.2416549547,1256.3641094853
Caldwell,9605.02,3372,0.1606901016,541.8470225952
Caldwell,9606,2940,0.1620732897,476.495471718
Caldwell,9607.01,3175,0.2560855194,813.071524095
Caldwell,9607.02,2744,0.1874089468,514.2501500192
Coryell,101.01,4432,0.1526135406,676.3832119392
Coryell,101.02,3759,0.1559671743,586.2806081937
Coryell,102.01,8599,0.2963848713,2548.6135083087
Coryell,102.02,5018,0.1725496072,865.8539289296
Coryell,103,2313,0.2077060943,480.4241961159
Coryell,104,4658,0.1669575933,777.6884695914
Coryell,105.01,3312,0.2632358716,871.8372067392
Coryell,105.02,3657,0.2899416095,1060.3164659415
Coryell,105.03,5023,0.201693067,1013.104275541
Coryell,105.04,1986,0.2783227141,552.7489102026
Coryell,106.01,4211,0.2720674506,1145.6760344766
Coryell,106.03,7117,0.2043858811,1454.6143157887
Coryell,106.04,7293,0.1619462205,1181.0737861065
Coryell,107.01,4557,0.1791532794,816.4014942258
Coryell,107.02,2607,0.2421340438,631.2434521866
Coryell,108.02,6788,0.1848436196,1254.7184898448
Coryell,108.03,2589,0.1414042889,366.0957039621
Coryell,108.04,4426,0.2107997338,932.9996217988
Coryell,9800,1427,0.2003298282,285.8706648414
Falls,2,2881,0.2105445429,606.5788280949
Falls,3,3491,0.246866316,861.810309156
Falls,4,1995,0.3678996573,733.9598163135
Falls,5,2361,0.1377101786,325.1337316746
Falls,7,2842,0.1776075857,504.7607585594
Falls,8,3493,0.2004809682,700.2800219226
Fayette,9701,2048,0.165736522,339.428397056
Fayette,9702,2294,0.1132278746,259.7447443324
Fayette,9703.01,1144,0.1366828949,156.3652317656
Fayette,9703.02,4594,0.1803419172,828.4907676168
Fayette,9704,3407,0.1407473169,479.5261086783
Fayette,9705,4336,0.1605095507,695.9694118352
Fayette,9706.01,801,0.1237993049,99.1632432249
Fayette,9706.02,3957,0.2207872279,873.6550608003
Fayette,9707,2202,0.1298267234,285.8784449268
