year,month_num,month,mae
2025,1,January,5.080378973548177
2025,2,February,4.878945993996002
2025,3,March,4.311175961790385
2025,4,April,4.7610087762872455
2025,5,May,4.821030973837989
2025,6,June,6.3383961017952375
2025,7,July,7.01232845428264
2025,8,August,6.12090161035574
2025,9,September,7.090282189804146
2025,10,October,7.67925869065849
2025,11,November,7.989159961634671
2025,12,December,8.785987729737702
